title,summary,authors,updated,published
"resolving the w-boson mass in the lepton specific two higgs doublet
  model","In this study, the parameter space of the Lepton Specific Two Higgs Doublet
Model (LS-2HDM) is investigated to align the W-boson mass reported by the CDF
experiment with recent theoretical and experimental findings. The Lepton
Specific Two Higgs Doublet Model, a distinguished category within Two Higgs
Doublet Models, contains two CP-even, one CP-odd, and two charged scalar
bosons, which play crucial role in estimating W boson mass. First, constraints
from diverse experimental data, including ATLAS 13 TeV analyses, rare B-meson
decays, and Lepton Flavor Universality in tau-lepton and Z-boson decays, are
determined and imposed on the parameter space of the model. These constraints
are subsequently applied to potential solutions generated through random scans
using SARAH 4.13.0 and analyzed using SPheno 4.0.3. The analysis indicates the
possibility of realizing the CDF-reported W-boson mass up to $1\sigma$ within
the low $\tan\beta$ regime ($2.5 \lesssim \tan\beta \lesssim 8.0 $).
Furthermore, it establishes mass limits for the additional scalar boson as $164
\lesssim m_{h_2} \lesssim 195 $ GeV, $330 \lesssim m_{A} \lesssim 575 $ GeV,
and $345 \lesssim m_{H^\pm} \lesssim 685 $ GeV. Moreover, it is observed that
instead of the masses, mass differences of the new scalars of the model are
more constrained to assure the CDF reported value of the W boson. Finally, all
potential solutions estimating the W-boson mass within a $1\sigma$ vicinity are
rigorously tested using the HiggsTools package. Remarkably, only one solution
remains valid, estimating $M_W=80.4103$ GeV within a $2.44\sigma$ vicinity of
the CDF-reported value.","{'Huseyin Dag', 'Ali Cici'}",2024-03-16T10:47:13Z,2024-03-16 10:47:13+00:00
"interpreting 95 gev di-photon/$b\bar{b}$ excesses as a lightest higgs
  boson of the mrssm","The Minimal R-symmetric Supersymmetric Standard Model (MRSSM) is a well
motivated BSM model which can accommodate the observed 125 GeV Higgs boson in
agreement with electroweak precision observables, in particular with the $W$
boson mass and $T$ parameter. In the 2016 paper we showed that the SM-like 125
GeV Higgs state can be also realised as the second-to-lightest scalar of the
MRSSM, leaving room for another sub-100 GeV state. Motivated by the recent
ATLAS and CMS observation of the di-photon excess at a mass of around 95 GeV we
investigate the possibility whether this could be the lightest CP-even MRSSM
scalar in a variation of our benchmarks presented in the 2016 work. We show
that such a state can also simultaneously explain the excess in the $b\bar{b}$
final state observed around the same mass value at LEP. Due to the R-symmetric
nature of the model, a light singlet-like Higgs state leads necessarily to a
light bino-singlino Dirac dark matter candidate, which can give a correct relic
density while evading current experimental bounds. Dark matter and LHC searches
place further bounds on this scenario and point to parameter regions which are
viable and of interest for the LHC Run III and upcoming dark matter
experiments.","{'Jan Kalinowski', 'Wojciech Kotlarski'}",2024-03-13T17:19:54Z,2024-03-13 17:19:54+00:00
"symmetric cumulant $sc_{2,4} \left \{ 4 \right \}$ and asymmetric
  cumulant $ac_{2} \left \{ 3 \right \}$ from transverse momentum conservation
  and flow","The multi-particle cumulants method can be used to reveal long-range
collectivity in small and large colliding systems. The four-particle symmetric
cumulant $sc_{2,4} \left \{ 4 \right \}$, three-particle asymmetric cumulant
$ac_{2} \left \{ 3 \right \}$, and the normalised cumulants $nsc_{2,4} \left \{
4 \right \}$ and $nac_{2} \left \{ 3 \right \}$ from the transverse momentum
conservation and flow are calculated. The interplay between the two effects is
also investigated. Our results are in good agreement with the recent ATLAS
measurements of multi-particle azimuthal correlations with the subevent
cumulant method, which provides insight into the origin of collective flow in
small systems.","{'Jia-Lin Pei', 'Guo-Liang Ma', 'Adam Bzdak'}",2024-03-09T03:31:22Z,2024-03-09 03:31:22+00:00
the quest to discover supersymmetry at the atlas experiment,"The search for supersymmetry with the ATLAS experiment at the CERN Large
Hadron Collider intensified after the discovery of the Higgs boson in 2012. The
search programme expanded in both breadth and depth, profiting from the
increased integrated luminosity and higher centre-of-mass energy of Run 2, and
gaining new sensitivity to unexplored areas of supersymmetry parameter space
through the use of new experimental signatures and innovative analysis
techniques. This report summarises the supersymmetry searches at ATLAS using up
to 140 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} = 13$ TeV, including the
limits set on the production of gluinos, squarks, and electroweakinos for
scenarios either with or without R-parity conservation, and including models
where some of the supersymmetric particles are long-lived.",{'ATLAS Collaboration'},2024-03-04T20:15:40Z,2024-03-04 20:15:40+00:00
"unified interpretation of muon g-2 anomaly, 95 gev diphoton, and
  $b\bar{b}$ excesses in the general next-to-minimal supersymmetric standard
  model","We investigate three intriguing anomalies within the framework of the General
Next-to-Minimal Supersymmetric Standard Model. These anomalies include a
significant deviation of the experimental results for the muon anomalous
magnetic moment from its Standard Model prediction, with a confidence level of
$5.1\sigma$; a joint observation by the CMS and ATLAS collaborations of a
diphoton excess with a local significance of $3.1 \sigma$ in the invariant mass
distribution around 95.4 GeV; and a reported excess in the $b\bar{b}$
production at LEP with a local significance of $2.3 \sigma$. Through analytical
and numerical analyses, we provide unified interpretations across an extensive
parameter space that remain consistent with current experimental restrictions
from data on the Higgs boson at 125 GeV, B-physics measurements, dark matter
observables, as well as existing searches for supersymmetry and extra Higgs
bosons. We attribute the muon anomaly to loops involving muon-smuon-neutralino
and muon-sneutrino-chargino interactions, while attributing the diphoton and $b
\bar{b}$ excesses to the resonant production of a singlet-dominated scalar.
These proposed solutions are poised for experimental tests at the
high-luminosity LHC and future linear colliders.","{'Junjie Cao', 'Jingwei Lian', 'Xinglong Jia'}",2024-02-24T16:30:03Z,2024-02-24 16:30:03+00:00
"calograph: graph-based diffusion model for fast shower generation in
  calorimeters with irregular geometry","Denoising diffusion models have gained prominence in various generative
tasks, prompting their exploration for the generation of calorimeter responses.
Given the computational challenges posed by detector simulations in high-energy
physics experiments, the necessity to explore new machine-learning-based
approaches is evident. This study introduces a novel graph-based diffusion
model designed specifically for rapid calorimeter simulations. The methodology
is particularly well-suited for low-granularity detectors featuring irregular
geometries. We apply this model to the ATLAS dataset published in the context
of the Fast Calorimeter Simulation Challenge 2022, marking the first
application of a graph diffusion model in the field of particle physics.","{'Eilam Gross', 'Etienne Dreyer', 'Nathalie Soybelman', 'Dmitrii Kobylianskii'}",2024-02-18T12:45:36Z,2024-02-18 12:45:36+00:00
unitarity effects in elastic scattering at the lhc,"We study the high-energy behavior of the elastic scattering amplitude using
two distinct unitarization schemes: the eikonal and the $U$-matrix. Our
analysis begins with a formalism involving solely Pomerons, incorporating
pion-loop insertions in the Pomeron trajectory representing the nearest
singularity generated by $t$-channel unitarity. Subsequently, we explore a
scenario that includes the presence of an Odderon. In our analyses, we explore
the tension between the TOTEM and the ATLAS measurements for $\sigma_{tot}$ and
$d\sigma/dt$ at 7, 8, and 13 TeV, and the subsequent implications for the
properties of both the Pomeron and Odderon. Our results show that the Odderon
phase factor $\xi_{\Bbb O}= -1$ is favored in both unitarization schemes. More
interestingly, this specific phase factor stands as the sole one that aligns
with results consistent with a non-zero Odderon coupling.","{'M. Maneyro', 'M. Peláez', 'E. G. S. Luna'}",2024-02-17T21:35:44Z,2024-02-17 21:35:44+00:00
"interpretations of the atlas measurements of higgs boson production and
  decay rates and differential cross-sections in $pp$ collisions at
  $\sqrt{s}=13$ tev","Measurements of the Higgs boson production times decay rates and differential
cross-sections have recently been performed by the ATLAS experiment in several
decay channels using up to 139 fb$^{-1}$ of proton-proton collision data at
$\sqrt{s}=13$ TeV recorded at the Large Hadron Collider. This paper presents
multiple interpretations of these Higgs boson measurements. Measurements of
production-mode cross-sections, simplified template cross-sections and fiducial
differential cross-sections in different decay channels are reparameterised in
terms of the impact of Standard Model effective field theory operators, and
constraints are reported on the corresponding Wilson coefficients. Production
and decay rate measurements are interpreted in UV-complete extensions of the
Standard Model, namely the two-Higgs-doublet model (2HDM) near thealignment
limit and the Minimal Supersymmetric Standard Model (MSSM) for various MSSM
benchmark scenarios. The constraints on the 2HDM parameters
$(\cos(\beta-\alpha), \tan\beta)$ and the MSSM parameters $(m_A, \tan\beta)$
are complementary to those obtained from direct searches for additional Higgs
bosons.",{'ATLAS Collaboration'},2024-02-08T15:20:07Z,2024-02-08 15:20:07+00:00
"accommodating the lhc charged higgs boson excess at 130 gev in the
  general two-higgs doublet model","Charged Higgs bosons are common predictions in most extensions of the
Standard Model (SM) Higgs sector. Therefore, their observation would elucidate
the nature of the Higgs sector. Motivated by the ATLAS collaboration's latest
analysis performed with $139~\text{fb}^{-1}$ of Run 2 data intended to search
for charged Higgs boson, produced in top quark decay and subsequently decaying
via $H^\pm \rightarrow cb$, where an excess with a local significance of
$3\sigma$ is observed at $m_{H^\pm} = 130~\rm{GeV}$, we discuss here the
possibility of explaining such excess in the context of the general 2-Higgs
Doublet Model (2HDM type-III), after satisfying all theoretical and up-to-date
experimental constraints. We also propose phenomenological scenarios to further
explore the mass region around 130 GeV in the four Yukawa types of the 2HDM
type-III and suggest alternative decay channel $H^\pm \rightarrow cs$ and/or
$H^\pm \rightarrow W^{\pm *}h$ to probe the nature of the observed excess (if
it is not a statistical fluctuation). Future searches for $H^\pm$ will be
critical in confirming or refuting the first hint of a light charged Higgs
boson at the LHC.","{'Souad Semlali', 'Mohamed Krab', 'Abdesslam Arhrib'}",2024-02-12T08:30:07Z,2024-02-05 17:00:48+00:00
higgs precision analysis of the full lhc run 1 and run 2 data,"We perform global fits of the Higgs boson couplings to the full Higgs
datasets collected at the LHC with the integrated luminosities per experiment
of approximately 5/fb at 7 TeV, 20/fb at 8 TeV, and up to 139/fb at 13 TeV. Our
combined analysis based on the experimental signal strengths used in this work
and the theoretical ones elaborated for our analysis reliably reproduce the
results in the literature. We reveal that the LHC Higgs precision data are no
longer best described by the SM Higgs boson taking account of extensive and
comprehensive CP-conserving and CP-violating scenarios found in several
well-motivated models beyond the SM. Especially, in most of the fits considered
in this work, we observe that the best-fitted values of the normalized Yukawa
couplings are about $2\sigma$ below the corresponding SM ones with the
$1\sigma$ errors of 3-5%. On the other hand, the gauge-Higgs couplings are
consistent with the SM with the $1\sigma$ errors of 2-3%. Incidentally, the
reduced Yukawa couplings help to explain the excess of the $H\to Z\gamma$
signal strength of $2.2\pm 0.7$ recently reported by the ATLAS and CMS
collaborations.","{'Dong-Won Jung', 'Jae Sik Lee', 'Yongtae Heo'}",2024-02-05T09:09:22Z,2024-02-05 09:09:22+00:00
